## opening file [/atlas/dq2/rucio/group/det-indet/20/22/group.det-indet.8685043.EXT0._000032.InDetDxAOD.pool.root]...
## importing ROOT...
## importing ROOT... [DONE]
## opening file [OK]
File:/atlas/dq2/rucio/group/det-indet/20/22/group.det-indet.8685043.EXT0._000032.InDetDxAOD.pool.root
Size:    79893.689 kb
Nbr Events: 100

================================================================================
     Mem Size       Disk Size        Size/Evt      MissZip/Mem  items  (X) Container Name (X=Tree|Branch)
================================================================================
      81.336 kb        3.090 kb        0.031 kb        0.000      100  (T) DataHeader
--------------------------------------------------------------------------------
       0.598 kb        0.107 kb        0.001 kb        0.000        1  (B) TriggerMenu
       0.612 kb        0.110 kb        0.001 kb        0.000        1  (B) CutBookkeepers
       0.661 kb        0.120 kb        0.001 kb        0.000        1  (B) IncompleteCutBookkeepers
       0.955 kb        0.308 kb        0.003 kb        0.000        1  (T) DataHeader
       1.063 kb        0.309 kb        0.003 kb        0.000        1  (B) _LAR_LArAffectedRegionInfo
       1.143 kb        0.371 kb        0.004 kb        0.000        1  (B) _TRIGGER_HLT_PrescaleKey
       1.174 kb        0.393 kb        0.004 kb        0.000        1  (B) _TRIGGER_LVL1_Lvl1ConfigKey
       1.215 kb        0.425 kb        0.004 kb        0.000        1  (B) _TRIGGER_HLT_HltConfigKeys
       1.473 kb        0.521 kb        0.005 kb        0.000        1  (B) _GLOBAL_BField_Maps
       1.773 kb        0.726 kb        0.007 kb        0.000        1  (B) StreamDAOD_IDTRKVALID
       1.646 kb        0.895 kb        0.009 kb        0.000      100  (B) EventInfoAuxDyn.mcChannelNumber
       2.720 kb        1.033 kb        0.010 kb        0.000      100  (B) TrigConfKeys
       2.293 kb        1.040 kb        0.010 kb        0.000        1  (B) _TagInfo
       1.679 kb        1.049 kb        0.010 kb        0.000      100  (B) EventInfoAuxDyn.LArCollTime_ncellC
       1.679 kb        1.061 kb        0.011 kb        0.000      100  (B) EventInfoAuxDyn.LArCollTime_ncellA
       1.550 kb        1.067 kb        0.011 kb        0.000      100  (B) EventInfoAuxDyn.nTRTUA
       1.550 kb        1.067 kb        0.011 kb        0.000      100  (B) EventInfoAuxDyn.nSCTUA
       2.544 kb        1.079 kb        0.011 kb        0.000        1  (T) DataHeaderForm
       1.571 kb        1.081 kb        0.011 kb        0.000      100  (B) EventInfoAuxDyn.nPixelUA
       1.582 kb        1.088 kb        0.011 kb        0.000      100  (B) EventInfoAuxDyn.nBlayerUA
       2.023 kb        1.095 kb        0.011 kb        0.000      100  (B) EventInfoAuxDyn.mcEventNumber
       1.614 kb        1.108 kb        0.011 kb        0.000      100  (B) EventInfoAuxDyn.nTRTBarrelUA
       1.614 kb        1.108 kb        0.011 kb        0.000      100  (B) EventInfoAuxDyn.TrtPhaseTime
       1.614 kb        1.108 kb        0.011 kb        0.000      100  (B) EventInfoAuxDyn.nSCTBarrelUA
       1.625 kb        1.115 kb        0.011 kb        0.000      100  (B) EventInfoAuxDyn.nSCTEndCapAUA
       1.625 kb        1.115 kb        0.011 kb        0.000      100  (B) EventInfoAuxDyn.nSCTEndCapCUA
